,Rasmussen Jacob,Duursma Iwan Maynard,Thorner Jesse,Balogh József,Cooney Daniel B,Feng Runhuan,Hirani Anil N,Mineyev Igor,La Nave Gabriele,Guzman Rosemary K,Junge Marius,Stojanoska Vesna,Reznick Bruce,Hur Vera Mikyoung,Berwick-Evans Daniel,Wei Wei,Quan Zhiyu,Kedem Rinat,Ahlgren Scott D,Fernandes Rui Loja,Rapti Zoi,Kutzarova Denka N,Kirr Eduard,Ivanov Sergei Vladimirovich,Bronski Jared C,Oikhberg Timur,Kerman Ely,Janda Felix,Ford Kevin B,Laugesen Richard Snyder,Mc Carthy Randy,Young Amanda,Tyson Jeremy T,Zaharescu Alexandru,Li Xiaochun,Jing Xiaochen,Hung Pei-Ken,Rasmussen Sarah Dean,De Ville R E Lee,Sowers Richard B,Albin Pierre,Fadina Tolulope,Baryshnikov Yuliy M,Heller Jeremiah Ben,Tzirakis Nikolaos,Wu Xuan,Leditzky Felix,Dey Partha Sarathi,Nikolaev Igor G,Yong Alexander T F,Song Renming,Tumanov Alexander,Erdoğan Mehmet Burak,Dodd Christopher,Boca Florin-Petre,Kirkpatrick Kay Lene,Lerman Eugene M,Hinkkanen Aimo,Pascaleff James Thomas,Di Francesco Philippe,Zharnitsky Vadim,Liu Yuan,Rezk Charles W,Dutta Sankar Prasad,Dunfield Nathan M,Bradlow Steven Benjamin,Haboush William J,Tolman Susan,Katz Sheldon H,Kostochka Alexandr V
Rasmussen Jacob,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Duursma Iwan Maynard,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thorner Jesse,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balogh József,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Cooney Daniel B,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feng Runhuan,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hirani Anil N,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Mineyev Igor,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Nave Gabriele,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guzman Rosemary K,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junge Marius,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
