,Rasmussen Jacob,Duursma Iwan Maynard,Thorner Jesse,Balogh József,Cooney Daniel B,Feng Runhuan,Hirani Anil N,Mineyev Igor,La Nave Gabriele,Guzman Rosemary K,Junge Marius,Stojanoska Vesna,Reznick Bruce,Hur Vera Mikyoung,Berwick-Evans Daniel,Wei Wei,Quan Zhiyu,Kedem Rinat,Ahlgren Scott D,Fernandes Rui Loja,Rapti Zoi,Kutzarova Denka N,Kirr Eduard,Ivanov Sergei Vladimirovich,Bronski Jared C,Oikhberg Timur,Kerman Ely,Janda Felix,Ford Kevin B,Laugesen Richard Snyder,Mc Carthy Randy,Young Amanda,Tyson Jeremy T,Zaharescu Alexandru,Li Xiaochun,Jing Xiaochen,Hung Pei-Ken,Rasmussen Sarah Dean,De Ville R E Lee,Sowers Richard B,Albin Pierre,Fadina Tolulope,Baryshnikov Yuliy M,Heller Jeremiah Ben,Tzirakis Nikolaos,Wu Xuan,Leditzky Felix,Dey Partha Sarathi,Nikolaev Igor G,Yong Alexander T F,Song Renming,Tumanov Alexander,Erdoğan Mehmet Burak,Dodd Christopher,Boca Florin-Petre,Kirkpatrick Kay Lene,Lerman Eugene M,Hinkkanen Aimo,Pascaleff James Thomas,Di Francesco Philippe,Zharnitsky Vadim,Liu Yuan,Rezk Charles W,Dutta Sankar Prasad,Dunfield Nathan M,Bradlow Steven Benjamin,Haboush William J,Tolman Susan,Katz Sheldon H,Kostochka Alexandr V
Rasmussen Jacob,12,2,4,2,0,1,1,3,3,1,4,5,4,3,3,0,1,3,5,3,1,2,1,3,2,1,4,6,5,2,2,1,2,6,2,0,1,3,1,2,3,0,3,4,2,0,0,1,1,5,1,3,3,2,2,2,5,3,4,2,3,2,5,2,7,2,2,7,3,1
Duursma Iwan Maynard,2,17,2,6,0,3,2,2,1,1,3,3,4,2,2,0,0,1,4,4,1,3,1,3,1,1,3,1,3,2,3,1,2,6,2,0,1,2,1,2,2,0,2,2,2,0,1,2,1,6,3,2,2,1,3,1,2,3,3,2,1,1,2,3,2,1,2,2,2,5
Thorner Jesse,4,2,16,5,0,1,1,2,3,1,9,3,5,4,3,0,0,4,9,4,1,4,1,5,2,2,3,4,10,2,2,1,4,13,3,1,2,2,2,3,4,1,4,2,4,0,1,1,1,7,4,3,7,2,9,1,7,3,2,3,3,3,2,2,3,4,2,7,5,1
Balogh József,2,6,5,48,0,1,3,1,3,1,13,3,9,4,3,0,0,4,9,5,2,6,1,6,3,7,3,3,14,5,2,1,7,12,3,0,1,2,3,8,3,0,11,3,6,1,1,4,1,11,9,2,7,3,4,1,7,4,1,5,4,2,3,5,4,3,2,4,3,22
Cooney Daniel B,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Feng Runhuan,1,3,1,1,0,17,1,1,1,1,1,1,1,2,1,3,1,1,2,2,1,3,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,4,2,0,2,1,1,0,0,2,1,2,6,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Hirani Anil N,1,2,1,3,0,1,13,2,1,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,0,1,2,2,1,1,0,2,2,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,2,3,1,2,2,1,1,1,1,1,2
Mineyev Igor,3,2,2,1,0,1,2,13,1,2,4,3,2,1,2,0,0,1,2,4,1,1,1,4,1,2,3,3,5,2,4,2,4,4,4,0,2,2,1,1,2,0,3,4,1,0,0,1,1,1,2,2,3,2,2,1,3,3,2,2,2,1,6,4,4,4,3,4,2,1
La Nave Gabriele,3,1,3,3,0,1,1,1,16,1,7,1,5,4,3,0,1,4,6,7,2,1,2,3,2,2,3,3,4,4,1,2,3,7,4,0,4,2,1,1,6,0,4,3,2,0,1,1,2,6,3,3,5,2,3,5,6,2,1,5,3,3,2,2,2,4,2,5,6,1
Guzman Rosemary K,1,1,1,1,0,1,2,2,1,3,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,0,1,2,1,1,1,0,1,2,1,0,0,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1
